1	0	0	10	hero1	98	157	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:51
1	0	0	111	hero1	98	157	LLLLLLLL	元宝	56373	+	QFunction	2024-06-13 17:17:51
1	0	0	10	hero1	98	157	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:51
1	0	0	111	hero1	98	157	LLLLLLLL	元宝	57373	+	QFunction	2024-06-13 17:17:51
1	0	0	10	hero1	98	157	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:51
1	0	0	111	hero1	98	157	LLLLLLLL	元宝	58373	+	QFunction	2024-06-13 17:17:51
1	0	0	10	hero1	98	157	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:54
1	0	0	111	hero1	98	157	LLLLLLLL	元宝	59373	+	QFunction	2024-06-13 17:17:54
1	0	0	10	hero1	98	157	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:54
1	0	0	111	hero1	98	157	LLLLLLLL	元宝	60373	+	QFunction	2024-06-13 17:17:54
1	0	0	10	hero1	98	157	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:54
1	0	0	111	hero1	98	157	LLLLLLLL	元宝	61373	+	QFunction	2024-06-13 17:17:54
1	0	0	10	hero1	95	152	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:57
1	0	0	111	hero1	95	152	LLLLLLLL	元宝	62373	+	QFunction	2024-06-13 17:17:57
1	0	0	10	hero1	91	148	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:17:57
1	0	0	111	hero1	91	148	LLLLLLLL	元宝	63373	+	QFunction	2024-06-13 17:17:57
1	0	0	10	hero1	88	145	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:00
1	0	0	111	hero1	88	145	LLLLLLLL	元宝	64373	+	QFunction	2024-06-13 17:18:00
1	0	0	10	hero1	88	145	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:03
1	0	0	111	hero1	88	145	LLLLLLLL	元宝	65373	+	QFunction	2024-06-13 17:18:03
1	0	0	10	hero1	86	147	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:03
1	0	0	111	hero1	86	147	LLLLLLLL	元宝	66373	+	QFunction	2024-06-13 17:18:03
1	0	0	10	hero1	86	147	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:03
1	0	0	111	hero1	86	147	LLLLLLLL	元宝	67373	+	QFunction	2024-06-13 17:18:03
1	0	0	10	hero1	86	147	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:03
1	0	0	111	hero1	86	147	LLLLLLLL	元宝	68373	+	QFunction	2024-06-13 17:18:03
1	0	0	10	hero1	85	148	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:03
1	0	0	111	hero1	85	148	LLLLLLLL	元宝	69373	+	QFunction	2024-06-13 17:18:03
1	0	0	10	hero1	84	149	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:03
1	0	0	111	hero1	84	149	LLLLLLLL	元宝	70373	+	QFunction	2024-06-13 17:18:03
1	0	0	10	hero1	82	151	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:06
1	0	0	111	hero1	82	151	LLLLLLLL	元宝	71373	+	QFunction	2024-06-13 17:18:06
1	0	0	10	hero1	78	147	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:06
1	0	0	111	hero1	78	147	LLLLLLLL	元宝	72373	+	QFunction	2024-06-13 17:18:06
1	0	0	10	hero1	78	147	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:09
1	0	0	111	hero1	78	147	LLLLLLLL	元宝	73373	+	QFunction	2024-06-13 17:18:09
1	0	0	10	hero1	78	147	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:09
1	0	0	111	hero1	78	147	LLLLLLLL	元宝	74373	+	QFunction	2024-06-13 17:18:09
1	0	0	10	hero1	77	146	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:09
1	0	0	111	hero1	77	146	LLLLLLLL	元宝	75373	+	QFunction	2024-06-13 17:18:09
1	0	0	10	hero1	77	146	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:09
1	0	0	111	hero1	77	146	LLLLLLLL	元宝	76373	+	QFunction	2024-06-13 17:18:09
1	0	0	10	hero1	77	146	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:09
1	0	0	111	hero1	77	146	LLLLLLLL	元宝	77373	+	QFunction	2024-06-13 17:18:09
1	0	0	10	hero1	77	145	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:12
1	0	0	111	hero1	77	145	LLLLLLLL	元宝	78373	+	QFunction	2024-06-13 17:18:12
1	0	0	10	hero1	77	145	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:12
1	0	0	111	hero1	77	145	LLLLLLLL	元宝	79373	+	QFunction	2024-06-13 17:18:12
1	0	0	10	hero1	77	145	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:12
1	0	0	111	hero1	77	145	LLLLLLLL	元宝	80373	+	QFunction	2024-06-13 17:18:12
1	0	0	10	hero1	76	145	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:15
1	0	0	111	hero1	76	145	LLLLLLLL	元宝	81373	+	QFunction	2024-06-13 17:18:15
1	0	0	10	hero1	74	143	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:15
1	0	0	111	hero1	74	143	LLLLLLLL	元宝	82373	+	QFunction	2024-06-13 17:18:15
1	0	0	10	hero1	72	141	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:15
1	0	0	111	hero1	72	141	LLLLLLLL	元宝	83373	+	QFunction	2024-06-13 17:18:15
1	0	0	10	hero1	72	141	LLLLLLLL	金币	1000000	1	QFunction	2024-06-13 17:18:15
1	0	0	111	hero1	72	141	LLLLLLLL	元宝	84373	+	QFunction	2024-06-13 17:18:15
1	0	0	13	hero1	66	147	LLLLLLLL	金币	2000	1	购买商铺物品	2024-06-13 17:18:27
